Local date,Demand
30Jun2024,"803,625"
01Jul2024,"890,274"
02Jul2024,"940,543"
03Jul2024,"984,784"
04Jul2024,"912,473"
05Jul2024,"961,628"
06Jul2024,"941,680"
07Jul2024,"915,789"
08Jul2024,"969,588"
09Jul2024,"966,927"
10Jul2024,"1,002,694"
11Jul2024,"1,026,859"
12Jul2024,"989,779"
13Jul2024,"876,974"
14Jul2024,"826,106"
15Jul2024,"884,670"
16Jul2024,"881,407"
17Jul2024,"871,628"
18Jul2024,"930,391"
19Jul2024,"970,441"
20Jul2024,"928,334"
21Jul2024,"870,347"
22Jul2024,"995,683"
23Jul2024,"1,056,086"
24Jul2024,"1,073,215"
25Jul2024,"1,065,423"
26Jul2024,"991,413"
27Jul2024,"817,871"
28Jul2024,"769,366"
29Jul2024,"843,536"
30Jul2024,"871,699"
31Jul2024,"903,490"
01Aug2024,"932,877"
02Aug2024,"969,950"
03Aug2024,"939,189"
04Aug2024,"898,596"
05Aug2024,"992,546"
06Aug2024,"1,009,218"
07Aug2024,"999,866"
08Aug2024,"940,200"
09Aug2024,"942,209"
10Aug2024,"889,869"
11Aug2024,"883,283"
12Aug2024,"946,911"
13Aug2024,"928,541"
14Aug2024,"930,552"
15Aug2024,"939,545"
16Aug2024,"938,698"
17Aug2024,"839,553"
18Aug2024,"798,661"
19Aug2024,"905,239"
20Aug2024,"919,142"
21Aug2024,"926,642"
22Aug2024,"878,542"
23Aug2024,"821,017"
24Aug2024,"751,988"
25Aug2024,"739,292"
26Aug2024,"868,250"
27Aug2024,"911,193"
28Aug2024,"899,760"
29Aug2024,"863,168"
30Aug2024,"851,239"
31Aug2024,"817,719"
01Sep2024,"810,958"
02Sep2024,"841,770"
03Sep2024,"951,226"
04Sep2024,"1,019,964"
05Sep2024,"1,079,557"
06Sep2024,"1,105,203"
07Sep2024,"1,017,340"
08Sep2024,"1,003,534"
09Sep2024,"1,073,645"
10Sep2024,"953,990"
11Sep2024,"837,208"
12Sep2024,"809,691"
13Sep2024,"807,540"
14Sep2024,"761,537"
15Sep2024,"706,711"
16Sep2024,"735,307"
17Sep2024,"736,885"
18Sep2024,"739,375"
19Sep2024,"745,366"
20Sep2024,"741,936"
21Sep2024,"709,622"
22Sep2024,"721,046"
23Sep2024,"827,182"
24Sep2024,"848,836"
25Sep2024,"798,761"
26Sep2024,"773,382"
27Sep2024,"787,909"
28Sep2024,"727,445"
29Sep2024,"697,355"
30Sep2024,"802,597"
01Oct2024,"883,666"
02Oct2024,"926,906"
03Oct2024,"916,652"
04Oct2024,"893,904"
05Oct2024,"846,471"
06Oct2024,"838,486"
07Oct2024,"910,570"
08Oct2024,"874,424"
09Oct2024,"826,285"
10Oct2024,"800,514"
11Oct2024,"776,612"
12Oct2024,"702,714"
13Oct2024,"674,863"
14Oct2024,"744,739"
15Oct2024,"760,341"
16Oct2024,"759,328"
17Oct2024,"734,987"
18Oct2024,"697,917"
19Oct2024,"658,835"
20Oct2024,"643,367"
21Oct2024,"706,064"
22Oct2024,"722,314"
23Oct2024,"730,808"
24Oct2024,"718,971"
25Oct2024,"703,923"
26Oct2024,"671,314"
27Oct2024,"664,553"
28Oct2024,"710,541"
29Oct2024,"691,733"
30Oct2024,"702,238"
31Oct2024,"699,197"
01Nov2024,"663,816"
02Nov2024,"96,031"
03Nov2024,"632,777"
04Nov2024,"673,883"
05Nov2024,"696,157"
06Nov2024,"666,318"
07Nov2024,"677,916"
08Nov2024,"684,568"
09Nov2024,"651,497"
10Nov2024,"630,460"
11Nov2024,"702,731"
12Nov2024,"699,802"
13Nov2024,"713,044"
14Nov2024,"701,088"
15Nov2024,"707,123"
16Nov2024,"653,587"
17Nov2024,"620,963"
18Nov2024,"715,728"
19Nov2024,"731,134"
20Nov2024,"741,081"
21Nov2024,"728,629"
22Nov2024,"723,862"
23Nov2024,"672,422"
24Nov2024,"649,794"
25Nov2024,"723,740"
26Nov2024,"725,731"
27Nov2024,"703,336"
28Nov2024,"649,882"
29Nov2024,"664,862"
30Nov2024,"665,358"
01Dec2024,"651,802"
02Dec2024,"703,747"
03Dec2024,"714,020"
04Dec2024,"714,794"
05Dec2024,"719,551"
06Dec2024,"715,917"
07Dec2024,"683,127"
08Dec2024,"666,329"
09Dec2024,"730,943"
10Dec2024,"743,553"
11Dec2024,"756,456"
12Dec2024,"767,223"
13Dec2024,"758,264"
14Dec2024,"700,123"
15Dec2024,"690,536"
16Dec2024,"765,283"
17Dec2024,"755,372"
18Dec2024,"756,277"
19Dec2024,"735,720"
20Dec2024,"724,691"
21Dec2024,"678,536"
22Dec2024,"657,380"
23Dec2024,"702,320"
24Dec2024,"678,511"
25Dec2024,"648,814"
26Dec2024,"704,036"
27Dec2024,"706,906"
28Dec2024,"668,821"
29Dec2024,"666,432"
30Dec2024,"693,573"
31Dec2024,"685,740"
01Jan2025,"653,016"
02Jan2025,"699,255"
03Jan2025,"712,264"
04Jan2025,"678,491"
05Jan2025,"657,167"
06Jan2025,"701,823"
07Jan2025,"702,038"
08Jan2025,"679,125"
09Jan2025,"689,719"
10Jan2025,"686,152"
11Jan2025,"656,128"
12Jan2025,"634,321"
13Jan2025,"703,212"
14Jan2025,"721,176"
15Jan2025,"710,567"
16Jan2025,"710,766"
17Jan2025,"720,721"
18Jan2025,"661,310"
19Jan2025,"659,612"
20Jan2025,"669,835"
21Jan2025,"695,907"
22Jan2025,"697,171"
23Jan2025,"700,526"
24Jan2025,"703,851"
25Jan2025,"659,689"
26Jan2025,"659,824"
27Jan2025,"714,948"
28Jan2025,"721,858"
29Jan2025,"722,552"
30Jan2025,"741,389"
31Jan2025,"752,254"
01Feb2025,"676,802"
02Feb2025,"645,913"
03Feb2025,"689,738"
04Feb2025,"726,297"
05Feb2025,"714,466"
06Feb2025,"749,644"
07Feb2025,"707,433"
08Feb2025,"650,771"
09Feb2025,"629,418"
10Feb2025,"695,947"
11Feb2025,"727,691"
12Feb2025,"756,895"
13Feb2025,"753,954"
14Feb2025,"703,829"
15Feb2025,"647,742"
16Feb2025,"626,934"
17Feb2025,"665,211"
18Feb2025,"674,214"
19Feb2025,"679,799"
20Feb2025,"672,642"
21Feb2025,"663,151"
22Feb2025,"614,714"
23Feb2025,"611,749"
24Feb2025,"676,250"
25Feb2025,"671,544"
26Feb2025,"656,601"
27Feb2025,"674,936"
28Feb2025,"651,521"
01Mar2025,"613,448"
02Mar2025,"620,785"
03Mar2025,"667,762"
04Mar2025,"686,346"
05Mar2025,"711,675"
06Mar2025,"713,302"
07Mar2025,"674,550"
08Mar2025,"570,116"
